word1	category	relation	word2
dishwasher-n	appliance	random-n	resident-n
dishwasher-n	appliance	random-n	resource-n
dishwasher-n	appliance	random-n	sec-n
dishwasher-n	appliance	random-n	shop-n
dishwasher-n	appliance	random-n	speech-n
dishwasher-n	appliance	random-n	summary-n
dishwasher-n	appliance	random-n	switchover-n
dishwasher-n	appliance	random-n	valour-n
freezer-n	appliance	coord	dishwasher-n
freezer-n	appliance	coord	fridge-n
freezer-n	appliance	coord	oven-n
freezer-n	appliance	coord	phone-n
freezer-n	appliance	coord	radio-n
freezer-n	appliance	coord	refrigerator-n
freezer-n	appliance	coord	stereo-n
freezer-n	appliance	coord	stove-n
freezer-n	appliance	coord	telephone-n
freezer-n	appliance	coord	television-n
freezer-n	appliance	coord	toaster-n
freezer-n	appliance	coord	washer-n
freezer-n	appliance	hyper	appliance-n
freezer-n	appliance	hyper	artefact-n
freezer-n	appliance	hyper	artifact-n
freezer-n	appliance	hyper	commodity-n
freezer-n	appliance	hyper	device-n
freezer-n	appliance	hyper	good-n
freezer-n	appliance	hyper	object-n
freezer-n	appliance	mero	door-n
freezer-n	appliance	mero	drawer-n
freezer-n	appliance	mero	engine-n
freezer-n	appliance	mero	food-n
freezer-n	appliance	mero	front-n
freezer-n	appliance	mero	inside-n
freezer-n	appliance	mero	metal-n
freezer-n	appliance	mero	motor-n
freezer-n	appliance	mero	plug-n
freezer-n	appliance	mero	shelf-n
freezer-n	appliance	mero	steel-n
freezer-n	appliance	mero	supply-n
freezer-n	appliance	random-n	ASM-n
freezer-n	appliance	random-n	admission-n
freezer-n	appliance	random-n	agenda-n
freezer-n	appliance	random-n	bump-n
freezer-n	appliance	random-n	chalk-n
freezer-n	appliance	random-n	component-n
freezer-n	appliance	random-n	couple-n
freezer-n	appliance	random-n	culture-n
freezer-n	appliance	random-n	directory-n
freezer-n	appliance	random-n	employment-n
freezer-n	appliance	random-n	flap-n
freezer-n	appliance	random-n	fund-n
freezer-n	appliance	random-n	idea-n
freezer-n	appliance	random-n	ideal-n
freezer-n	appliance	random-n	investigation-n
freezer-n	appliance	random-n	issuer-n
freezer-n	appliance	random-n	linguist-n
freezer-n	appliance	random-n	microphone-n
freezer-n	appliance	random-n	moniker-n
freezer-n	appliance	random-n	present-n
freezer-n	appliance	random-n	refurbishment-n
freezer-n	appliance	random-n	remedy-n
freezer-n	appliance	random-n	rule-n
freezer-n	appliance	random-n	stroke-n
freezer-n	appliance	random-n	warning-n
fridge-n	appliance	coord	dishwasher-n
fridge-n	appliance	coord	freezer-n
fridge-n	appliance	coord	oven-n
fridge-n	appliance	coord	phone-n
fridge-n	appliance	coord	radio-n
fridge-n	appliance	coord	stereo-n
fridge-n	appliance	coord	stove-n
fridge-n	appliance	coord	telephone-n
fridge-n	appliance	coord	television-n
fridge-n	appliance	coord	toaster-n
fridge-n	appliance	coord	washer-n
fridge-n	appliance	hyper	appliance-n
fridge-n	appliance	hyper	artefact-n
fridge-n	appliance	hyper	artifact-n
fridge-n	appliance	hyper	commodity-n
fridge-n	appliance	hyper	device-n
fridge-n	appliance	hyper	good-n
fridge-n	appliance	hyper	object-n
fridge-n	appliance	mero	door-n
fridge-n	appliance	mero	drawer-n
fridge-n	appliance	mero	drink-n
fridge-n	appliance	mero	engine-n
fridge-n	appliance	mero	food-n
fridge-n	appliance	mero	inside-n
fridge-n	appliance	mero	metal-n
fridge-n	appliance	mero	motor-n
fridge-n	appliance	mero	plug-n
fridge-n	appliance	mero	shelf-n
fridge-n	appliance	mero	steel-n
fridge-n	appliance	mero	supply-n
fridge-n	appliance	mero	top-n
fridge-n	appliance	random-n	adventure-n
fridge-n	appliance	random-n	bronze-n
fridge-n	appliance	random-n	cycle-n
fridge-n	appliance	random-n	downturn-n
fridge-n	appliance	random-n	elector-n
fridge-n	appliance	random-n	engineer-n
fridge-n	appliance	random-n	entertainment-n
fridge-n	appliance	random-n	footage-n
fridge-n	appliance	random-n	garden-n
fridge-n	appliance	random-n	habitat-n
fridge-n	appliance	random-n	infection-n
fridge-n	appliance	random-n	innovation-n
fridge-n	appliance	random-n	learner-n
fridge-n	appliance	random-n	nerve-n
fridge-n	appliance	random-n	off-campus-n
fridge-n	appliance	random-n	omission-n
fridge-n	appliance	random-n	pedal-n
fridge-n	appliance	random-n	plan-n
fridge-n	appliance	random-n	plea-n
fridge-n	appliance	random-n	prophecy-n
fridge-n	appliance	random-n	racism-n
fridge-n	appliance	random-n	release-n
fridge-n	appliance	random-n	remake-n
fridge-n	appliance	random-n	route-n
fridge-n	appliance	random-n	species-n
fridge-n	appliance	random-n	test-n
oven-n	appliance	coord	dishwasher-n
oven-n	appliance	coord	freezer-n
oven-n	appliance	coord	fridge-n
oven-n	appliance	coord	phone-n
oven-n	appliance	coord	radio-n
oven-n	appliance	coord	refrigerator-n
oven-n	appliance	coord	stereo-n
oven-n	appliance	coord	stove-n
oven-n	appliance	coord	telephone-n
oven-n	appliance	coord	television-n
oven-n	appliance	coord	toaster-n
oven-n	appliance	coord	washer-n
oven-n	appliance	hyper	appliance-n
oven-n	appliance	hyper	artefact-n
oven-n	appliance	hyper	artifact-n
oven-n	appliance	hyper	commodity-n
oven-n	appliance	hyper	device-n
oven-n	appliance	hyper	good-n
oven-n	appliance	hyper	object-n
oven-n	appliance	mero	broiler-n
oven-n	appliance	mero	control-n
oven-n	appliance	mero	door-n
oven-n	appliance	mero	food-n
oven-n	appliance	mero	gas-n
oven-n	appliance	mero	grill-n
oven-n	appliance	mero	inside-n
oven-n	appliance	mero	metal-n
oven-n	appliance	mero	microwave-n
oven-n	appliance	mero	plug-n
oven-n	appliance	mero	rack-n
oven-n	appliance	mero	steel-n
oven-n	appliance	mero	supply-n
oven-n	appliance	mero	timer-n
oven-n	appliance	random-n	Chippendale-n
oven-n	appliance	random-n	O-n
oven-n	appliance	random-n	behavior-n
oven-n	appliance	random-n	cannot-n
oven-n	appliance	random-n	constituent-n
oven-n	appliance	random-n	conversation-n
oven-n	appliance	random-n	debut-n
oven-n	appliance	random-n	difficulty-n
oven-n	appliance	random-n	emulator-n
oven-n	appliance	random-n	experience-n
oven-n	appliance	random-n	fraction-n
oven-n	appliance	random-n	general-n
oven-n	appliance	random-n	generation-n
oven-n	appliance	random-n	ie-n
oven-n	appliance	random-n	import-n
oven-n	appliance	random-n	kilometre-n
oven-n	appliance	random-n	palette-n
oven-n	appliance	random-n	pitfall-n
oven-n	appliance	random-n	pump-n
oven-n	appliance	random-n	race-n
oven-n	appliance	random-n	re-n
oven-n	appliance	random-n	removal-n
oven-n	appliance	random-n	researcher-n
oven-n	appliance	random-n	saddle-n
oven-n	appliance	random-n	sore-n
oven-n	appliance	random-n	surroundings-n
oven-n	appliance	random-n	tee-n
oven-n	appliance	random-n	trust-n
oven-n	appliance	random-n	water-n
phone-n	appliance	coord	computer-n
phone-n	appliance	coord	dishwasher-n
phone-n	appliance	coord	freezer-n
phone-n	appliance	coord	fridge-n
phone-n	appliance	coord	oven-n
phone-n	appliance	coord	radio-n
phone-n	appliance	coord	refrigerator-n
phone-n	appliance	coord	stereo-n
phone-n	appliance	coord	stove-n
phone-n	appliance	coord	television-n
phone-n	appliance	coord	toaster-n
phone-n	appliance	coord	washer-n
phone-n	appliance	hyper	appliance-n
phone-n	appliance	hyper	artefact-n
phone-n	appliance	hyper	artifact-n
phone-n	appliance	hyper	commodity-n
phone-n	appliance	hyper	device-n
phone-n	appliance	hyper	equipment-n
phone-n	appliance	hyper	gadget-n
phone-n	appliance	hyper	good-n
phone-n	appliance	hyper	object-n
phone-n	appliance	hyper	system-n
phone-n	appliance	mero	antenna-n
phone-n	appliance	mero	button-n
phone-n	appliance	mero	cable-n
phone-n	appliance	mero	cord-n
phone-n	appliance	mero	dial-n
phone-n	appliance	mero	keyboard-n
phone-n	appliance	mero	number-n
phone-n	appliance	mero	plastic-n
phone-n	appliance	mero	receiver-n
phone-n	appliance	mero	wire-n
phone-n	appliance	random-n	artillery-n
phone-n	appliance	random-n	bark-n
phone-n	appliance	random-n	choice-n
phone-n	appliance	random-n	clearance-n
phone-n	appliance	random-n	closing-n
phone-n	appliance	random-n	entrepreneur-n
phone-n	appliance	random-n	goody-n
phone-n	appliance	random-n	hectare-n
phone-n	appliance	random-n	holiday-n
phone-n	appliance	random-n	man-n
phone-n	appliance	random-n	observer-n
phone-n	appliance	random-n	optic-n
phone-n	appliance	random-n	party-n
phone-n	appliance	random-n	philosophy-n
phone-n	appliance	random-n	polymer-n
phone-n	appliance	random-n	propeller-n
phone-n	appliance	random-n	salvation-n
phone-n	appliance	random-n	sanctity-n
phone-n	appliance	random-n	server-n
phone-n	appliance	random-n	shoe-n
phone-n	appliance	random-n	temp-n
phone-n	appliance	random-n	tenet-n
phone-n	appliance	random-n	theft-n
phone-n	appliance	random-n	tray-n
phone-n	appliance	random-n	turmoil-n
radio-n	appliance	coord	computer-n
radio-n	appliance	coord	dishwasher-n
radio-n	appliance	coord	freezer-n
radio-n	appliance	coord	fridge-n
radio-n	appliance	coord	oven-n
radio-n	appliance	coord	phone-n
radio-n	appliance	coord	refrigerator-n
radio-n	appliance	coord	stereo-n
radio-n	appliance	coord	stove-n
radio-n	appliance	coord	telephone-n
radio-n	appliance	coord	television-n
radio-n	appliance	coord	toaster-n
radio-n	appliance	coord	washer-n
radio-n	appliance	hyper	appliance-n
radio-n	appliance	hyper	artefact-n
radio-n	appliance	hyper	artifact-n
radio-n	appliance	hyper	commodity-n
radio-n	appliance	hyper	device-n
radio-n	appliance	hyper	equipment-n
radio-n	appliance	hyper	good-n
radio-n	appliance	hyper	object-n
radio-n	appliance	hyper	system-n
radio-n	appliance	mero	amplifier-n
radio-n	appliance	mero	antenna-n
radio-n	appliance	mero	battery-n
radio-n	appliance	mero	channel-n
radio-n	appliance	mero	circuit-n
radio-n	appliance	mero	control-n
radio-n	appliance	mero	dial-n
radio-n	appliance	mero	headphone-n
radio-n	appliance	mero	loudspeaker-n
radio-n	appliance	mero	metal-n
radio-n	appliance	mero	music-n
radio-n	appliance	mero	plastic-n
radio-n	appliance	mero	plug-n
radio-n	appliance	mero	resistance-n
radio-n	appliance	mero	speaker-n
radio-n	appliance	mero	supply-n
radio-n	appliance	mero	wire-n
radio-n	appliance	random-n	addiction-n
radio-n	appliance	random-n	affinity-n
radio-n	appliance	random-n	author-n
radio-n	appliance	random-n	canvas-n
radio-n	appliance	random-n	female-n
radio-n	appliance	random-n	gasket-n
radio-n	appliance	random-n	governor-n
radio-n	appliance	random-n	icing-n
radio-n	appliance	random-n	journal-n
radio-n	appliance	random-n	launch-n
radio-n	appliance	random-n	learndirect-n
radio-n	appliance	random-n	methodology-n
radio-n	appliance	random-n	night-n
radio-n	appliance	random-n	objection-n
radio-n	appliance	random-n	opportunity-n
radio-n	appliance	random-n	pilgrim-n
radio-n	appliance	random-n	ping-n
radio-n	appliance	random-n	productivity-n
radio-n	appliance	random-n	protection-n
radio-n	appliance	random-n	pupil-n
radio-n	appliance	random-n	regulator-n
radio-n	appliance	random-n	sex-n
radio-n	appliance	random-n	smoke-n
radio-n	appliance	random-n	spray-n
radio-n	appliance	random-n	strike-n
radio-n	appliance	random-n	tantrum-n
radio-n	appliance	random-n	tube-n
radio-n	appliance	random-n	workplace-n
radio-n	appliance	random-n	ye-n
stereo-n	appliance	coord	computer-n
stereo-n	appliance	coord	dishwasher-n
stereo-n	appliance	coord	freezer-n
stereo-n	appliance	coord	fridge-n
stereo-n	appliance	coord	oven-n
stereo-n	appliance	coord	phone-n
stereo-n	appliance	coord	radio-n
stereo-n	appliance	coord	refrigerator-n
stereo-n	appliance	coord	stove-n
stereo-n	appliance	coord	telephone-n
stereo-n	appliance	coord	television-n
stereo-n	appliance	coord	toaster-n
stereo-n	appliance	coord	washer-n
stereo-n	appliance	hyper	appliance-n
stereo-n	appliance	hyper	artefact-n
stereo-n	appliance	hyper	artifact-n
stereo-n	appliance	hyper	commodity-n
stereo-n	appliance	hyper	device-n
stereo-n	appliance	hyper	equipment-n
stereo-n	appliance	hyper	good-n
stereo-n	appliance	hyper	object-n
stereo-n	appliance	hyper	system-n
stereo-n	appliance	mero	amplifier-n
stereo-n	appliance	mero	antenna-n
stereo-n	appliance	mero	cable-n
stereo-n	appliance	mero	cd-n
stereo-n	appliance	mero	circuit-n
stereo-n	appliance	mero	control-n
stereo-n	appliance	mero	deck-n
stereo-n	appliance	mero	headphone-n
stereo-n	appliance	mero	loudspeaker-n
stereo-n	appliance	mero	metal-n
stereo-n	appliance	mero	microphone-n
stereo-n	appliance	mero	music-n
stereo-n	appliance	mero	plastic-n
stereo-n	appliance	mero	player-n
stereo-n	appliance	mero	plug-n
stereo-n	appliance	mero	record-n
stereo-n	appliance	mero	recorder-n
stereo-n	appliance	mero	resistance-n
stereo-n	appliance	mero	speaker-n
stereo-n	appliance	mero	supply-n
stereo-n	appliance	mero	tape-n
stereo-n	appliance	mero	turntable-n
stereo-n	appliance	mero	wire-n
stereo-n	appliance	mero	woofer-n
stereo-n	appliance	random-n	achievement-n
stereo-n	appliance	random-n	avatar-n
stereo-n	appliance	random-n	bacterium-n
stereo-n	appliance	random-n	burgh-n
stereo-n	appliance	random-n	candy-n
stereo-n	appliance	random-n	conscript-n
stereo-n	appliance	random-n	criterion-n
stereo-n	appliance	random-n	datum-n
stereo-n	appliance	random-n	era-n
stereo-n	appliance	random-n	history-n
stereo-n	appliance	random-n	holiday-n
stereo-n	appliance	random-n	idea-n
stereo-n	appliance	random-n	illness-n
stereo-n	appliance	random-n	inch-n
stereo-n	appliance	random-n	killer-n
stereo-n	appliance	random-n	kit-n
stereo-n	appliance	random-n	lawn-n
stereo-n	appliance	random-n	merger-n
stereo-n	appliance	random-n	news-n
stereo-n	appliance	random-n	orient-n
stereo-n	appliance	random-n	part-n
stereo-n	appliance	random-n	piece-n
stereo-n	appliance	random-n	reservation-n
stereo-n	appliance	random-n	sauce-n
