environmentalist-n	reformer-n
beverage-n	fluid-n
employee-n	worker-n
mime-n	performer-n
subcontractor-n	contractor-n
gauge-n	instrument-n
parser-n	software-n
affection-n	feeling-n
seaplane-n	airplane-n
acid-n	chemical-n
voice-n	sound-n
keyboardist-n	performer-n
pigeon-n	vertebrate-n
lecturer-n	adult-n
orchid-n	flower-n
gland-n	organ-n
colt-n	male-n
zebra-n	animal-n
freeway-n	road-n
brook-n	stream-n
lizard-n	reptile-n
baritone-n	singer-n
helicopter-n	vehicle-n
whiskey-n	liquid-n
armchair-n	chair-n
spouse-n	relative-n
answer-n	statement-n
ink-n	liquid-n
pc-n	machine-n
spear-n	instrument-n
ink-n	fluid-n
conservatism-n	attitude-n
spinach-n	herb-n
geek-n	performer-n
thirty-n	integer-n
economist-n	scientist-n
pouch-n	container-n
heroism-n	trait-n
stallion-n	animal-n
pocket-n	container-n
reel-n	equipment-n
symphony-n	music-n
hardness-n	consistency-n
firearm-n	weapon-n
adrenaline-n	neurotransmitter-n
royalty-n	payment-n
theology-n	discipline-n
swan-n	bird-n
clinician-n	professional-n
indemnity-n	security-n
cookie-n	solid-n
gunboat-n	boat-n
grandchild-n	relative-n
sedan-n	car-n
medicine-n	discipline-n
dynamite-n	explosive-n
tongue-n	organ-n
throne-n	furniture-n
sausage-n	solid-n
vicar-n	priest-n
lymphoma-n	tumor-n
moratorium-n	pause-n
dyke-n	lesbian-n
heterogeneity-n	difference-n
desk-n	furniture-n
daughter-n	offspring-n
relief-n	feeling-n
liqueur-n	beverage-n
sherry-n	wine-n
tumour-n	illness-n
ecologist-n	scientist-n
company-n	institution-n
review-n	appraisal-n
jigsaw-n	machine-n
adjective-n	word-n
annals-n	periodical-n
apostle-n	believer-n
red-n	color-n
drone-n	insect-n
biochemistry-n	chemistry-n
cynicism-n	feeling-n
knee-n	joint-n
smallpox-n	illness-n
bird-n	animal-n
lion-n	animal-n
bug-n	invertebrate-n
cook-n	worker-n
golfer-n	player-n
pheasant-n	vertebrate-n
waitress-n	employee-n
convent-n	dwelling-n
suitcase-n	container-n
roadway-n	road-n
hysteria-n	disorder-n
shopkeeper-n	merchant-n
tumor-n	illness-n
apathy-n	feeling-n
pig-n	swine-n
kilt-n	clothing-n
lion-n	vertebrate-n
encyclopedia-n	book-n
basket-n	container-n
silo-n	tower-n
chant-n	music-n
mollusc-n	animal-n
chamber-n	enclosure-n
nickname-n	name-n
manual-n	book-n
handgun-n	weapon-n
jelly-n	food-n
shower-n	fixture-n
enumeration-n	information-n
osteoarthritis-n	illness-n
spoon-n	container-n
yearning-n	feeling-n
airman-n	worker-n
bee-n	invertebrate-n
penis-n	organ-n
interoperability-n	ability-n
linguistics-n	science-n
ecstasy-n	feeling-n
housewife-n	woman-n
rector-n	leader-n
concert-n	performance-n
spear-n	weapon-n
classroom-n	room-n
underside-n	boundary-n
invertebrate-n	animal-n
cassette-n	container-n
sandwich-n	food-n
screen-n	surface-n
cockroach-n	insect-n
attorney-n	professional-n
cemetery-n	site-n
spokesman-n	spokesperson-n
psychiatry-n	science-n
bib-n	fabric-n
rainwater-n	water-n
pancreas-n	organ-n
abstraction-n	concept-n
oncology-n	discipline-n
mortar-n	weaponry-n
rum-n	drug-n
ticket-n	document-n
disco-n	music-n
walnut-n	nut-n
psychoanalysis-n	therapy-n
fly-n	invertebrate-n
terrier-n	dog-n
hostel-n	hotel-n
coupe-n	vehicle-n
terminal-n	facility-n
melanoma-n	tumor-n
safari-n	travel-n
pope-n	leader-n
boulevard-n	thoroughfare-n
dioxide-n	oxide-n
wheat-n	cereal-n
gentry-n	people-n
enzyme-n	molecule-n
carbohydrate-n	molecule-n
foetus-n	vertebrate-n
petal-n	leaf-n
salmon-n	animal-n
cairn-n	symbol-n
elm-n	tree-n
boss-n	leader-n
amphibian-n	vehicle-n
gunboat-n	vehicle-n
rum-n	liquid-n
studio-n	workplace-n
lupus-n	disease-n
rodent-n	animal-n
cockroach-n	invertebrate-n
spokeswoman-n	spokesperson-n
calculation-n	procedure-n
roster-n	list-n
questionnaire-n	document-n
aircraft-n	vehicle-n
editorial-n	prose-n
sherry-n	liquid-n
skull-n	tissue-n
humanism-n	doctrine-n
telescope-n	instrument-n
greyhound-n	animal-n
waiter-n	employee-n
artiste-n	entertainer-n
clerk-n	worker-n
mucosa-n	tissue-n
cycling-n	sport-n
apple-n	solid-n
club-n	organization-n
palace-n	dwelling-n
chariot-n	vehicle-n
courthouse-n	building-n
malaria-n	infection-n
breaker-n	worker-n
asp-n	reptile-n
pear-n	produce-n
committee-n	organization-n
ox-n	animal-n
dramatist-n	writer-n
investment-n	transaction-n
bend-n	curve-n
velvet-n	fabric-n
sweetness-n	sensation-n
preposition-n	word-n
meningitis-n	illness-n
psychoanalysis-n	treatment-n
checklist-n	information-n
sawmill-n	machine-n
pair-n	set-n
neuroscience-n	science-n
piper-n	musician-n
terrier-n	carnivore-n
reliability-n	trait-n
sociologist-n	scientist-n
remorse-n	feeling-n
pear-n	fruit-n
height-n	dimension-n
accusation-n	statement-n
hare-n	mammal-n
chocolate-n	food-n
chilli-n	vegetable-n
hare-n	animal-n
weapon-n	instrument-n
leukaemia-n	tumor-n
shaving-n	cleaning-n
pseudonym-n	name-n
physiology-n	science-n
cottage-n	housing-n
beech-n	tree-n
earring-n	decoration-n
cosmology-n	discipline-n
granny-n	relative-n
ferret-n	carnivore-n
mare-n	animal-n
comment-n	statement-n
lactose-n	chemical-n
fallacy-n	idea-n
reptile-n	animal-n
rodent-n	vertebrate-n
pontoon-n	boat-n
dentistry-n	medicine-n
electronics-n	discipline-n
winner-n	contestant-n
monoclonal-n	protein-n
handgun-n	instrument-n
motel-n	building-n
margarine-n	food-n
cat-n	mammal-n
vicinity-n	area-n
olive-n	fruit-n
thoroughfare-n	road-n
leg-n	limb-n
fragrance-n	sensation-n
kingfisher-n	vertebrate-n
ban-n	decree-n
turkey-n	bird-n
pine-n	tree-n
falsehood-n	statement-n
birthday-n	anniversary-n
diplomat-n	worker-n
dermatitis-n	disease-n
hymn-n	song-n
animosity-n	feeling-n
vocalist-n	performer-n
bat-n	vertebrate-n
catcher-n	player-n
taxonomy-n	hierarchy-n
vole-n	rodent-n
migraine-n	ache-n
butter-n	solid-n
dispenser-n	container-n
military-n	organization-n
nipple-n	organ-n
math-n	science-n
alderman-n	representative-n
deanery-n	dwelling-n
immunology-n	discipline-n
potato-n	food-n
wrath-n	emotion-n
carnage-n	murder-n
bitterness-n	emotion-n
mackerel-n	seafood-n
firm-n	organization-n
human-n	vertebrate-n
reimbursement-n	payment-n
highway-n	road-n
soccer-n	game-n
chateau-n	dwelling-n
pearl-n	jewel-n
terror-n	emotion-n
biplane-n	vehicle-n
castle-n	dwelling-n
ginger-n	herb-n
snippet-n	piece-n
orator-n	speaker-n
border-n	boundary-n
neurology-n	science-n
ten-n	integer-n
storyteller-n	communicator-n
mishap-n	phenomenon-n
dad-n	progenitor-n
skin-n	covering-n
fourteen-n	integer-n
massage-n	treatment-n
housekeeper-n	servant-n
shareholder-n	investor-n
cellulose-n	carbohydrate-n
tortoise-n	animal-n
rhino-n	vertebrate-n
midwife-n	professional-n
pheasant-n	animal-n
pennant-n	symbol-n
dustbin-n	bin-n
complacency-n	feeling-n
dictionary-n	book-n
sedan-n	vehicle-n
leukaemia-n	disease-n
affidavit-n	document-n
eagle-n	animal-n
wine-n	alcohol-n
benzene-n	hydrocarbon-n
charcoal-n	carbon-n
fillet-n	meat-n
marquee-n	tent-n
comedian-n	performer-n
gin-n	beverage-n
kindergarten-n	organization-n
penicillin-n	antibiotic-n
champagne-n	alcohol-n
fender-n	barrier-n
gale-n	phenomenon-n
fresco-n	art-n
floor-n	surface-n
soprano-n	entertainer-n
crab-n	invertebrate-n
skier-n	athlete-n
baby-n	offspring-n
humankind-n	vertebrate-n
sis-n	relative-n
dad-n	relative-n
anger-n	emotion-n
bronze-n	alloy-n
package-n	collection-n
parent-n	relative-n
modifier-n	word-n
wife-n	spouse-n
cat-n	carnivore-n
scarf-n	garment-n
serpent-n	reptile-n
pipe-n	conduit-n
notary-n	official-n
trumpeter-n	performer-n
woman-n	adult-n
magpie-n	bird-n
casket-n	container-n
thief-n	criminal-n
magistrate-n	official-n
shirt-n	clothing-n
nanny-n	adult-n
vi-n	digit-n
eatery-n	building-n
toe-n	extremity-n
army-n	organization-n
mailbox-n	container-n
herring-n	seafood-n
tea-n	beverage-n
biplane-n	airplane-n
python-n	animal-n
liqueur-n	fluid-n
linguist-n	scientist-n
tavern-n	building-n
slogan-n	saying-n
counterattack-n	attack-n
mail-n	message-n
benzodiazepine-n	drug-n
insect-n	animal-n
gorilla-n	mammal-n
supercomputer-n	computer-n
gunner-n	serviceman-n
bottle-n	container-n
radiotherapy-n	treatment-n
princess-n	aristocrat-n
polymerase-n	chemical-n
sloop-n	vehicle-n
theft-n	felony-n
stag-n	animal-n
sewer-n	conduit-n
chapel-n	building-n
declaration-n	statement-n
monastery-n	house-n
soloist-n	performer-n
convention-n	meeting-n
washer-n	worker-n
bargain-n	agreement-n
bookmark-n	marker-n
golf-n	sport-n
bull-n	animal-n
spaghetti-n	food-n
tsunami-n	wave-n
bassist-n	musician-n
batsman-n	player-n
wolf-n	carnivore-n
winger-n	athlete-n
tar-n	chemical-n
cottage-n	house-n
eel-n	solid-n
goose-n	waterfowl-n
vodka-n	alcohol-n
rabbit-n	vertebrate-n
dealership-n	business-n
epic-n	poem-n
black-n	color-n
auto-n	vehicle-n
crocodile-n	animal-n
quarterback-n	player-n
penthouse-n	housing-n
vole-n	vertebrate-n
rider-n	traveler-n
protein-n	molecule-n
mesothelioma-n	disease-n
glider-n	aircraft-n
horse-n	vertebrate-n
smuggler-n	criminal-n
aquarium-n	container-n
resentment-n	emotion-n
serpent-n	vertebrate-n
humanist-n	scholar-n
camera-n	equipment-n
headline-n	text-n
fullback-n	athlete-n
asp-n	snake-n
parrot-n	vertebrate-n
memo-n	note-n
cardinal-n	bishop-n
association-n	organization-n
screenwriter-n	writer-n
binder-n	machine-n
pet-n	animal-n
radiation-n	phenomenon-n
cider-n	fluid-n
house-n	building-n
caring-n	love-n
deanery-n	building-n
panic-n	fear-n
worm-n	invertebrate-n
vandalism-n	mischief-n
milk-n	liquid-n
artiste-n	performer-n
tutor-n	teacher-n
dwelling-n	housing-n
archbishop-n	clergyman-n
rain-n	phenomenon-n
professorship-n	occupation-n
bourgeoisie-n	people-n
immigration-n	migration-n
underwear-n	clothing-n
dog-n	carnivore-n
sociology-n	science-n
biochemistry-n	science-n
term-n	word-n
quartz-n	solid-n
shrine-n	building-n
suburb-n	district-n
bonnet-n	commodity-n
chick-n	bird-n
ice-n	crystal-n
lemon-n	fruit-n
pudding-n	food-n
cookbook-n	book-n
parameter-n	concept-n
amphetamine-n	drug-n
veil-n	garment-n
liqueur-n	alcohol-n
flu-n	disease-n
fork-n	ware-n
aesthetic-n	doctrine-n
discussion-n	communication-n
migrant-n	traveler-n
depth-n	magnitude-n
pc-n	computer-n
turret-n	tower-n
envy-n	feeling-n
enzymology-n	science-n
joker-n	performer-n
calamity-n	misfortune-n
bean-n	vegetable-n
revolver-n	pistol-n
woodpecker-n	bird-n
vial-n	container-n
agony-n	feeling-n
barrier-n	obstruction-n
kickoff-n	kick-n
editor-n	worker-n
hockey-n	sport-n
mesothelioma-n	cancer-n
corridor-n	passageway-n
lingerie-n	underwear-n
laboratory-n	workplace-n
vegan-n	eater-n
victimisation-n	practice-n
seaman-n	sailor-n
carpenter-n	worker-n
electrician-n	worker-n
pollen-n	spore-n
vicarage-n	building-n
twelve-n	integer-n
warship-n	vehicle-n
ant-n	invertebrate-n
rue-n	herb-n
wader-n	vertebrate-n
ale-n	fluid-n
odyssey-n	travel-n
monastery-n	housing-n
cellist-n	performer-n
love-n	feeling-n
warbler-n	performer-n
wage-n	payment-n
aphid-n	invertebrate-n
platter-n	ware-n
tenant-n	payer-n
decrease-n	change-n
immunology-n	science-n
rage-n	emotion-n
dinner-n	meal-n
herpes-n	disease-n
intestine-n	organ-n
diabetes-n	disease-n
bee-n	animal-n
paddle-n	stick-n
company-n	organization-n
sir-n	man-n
boar-n	mammal-n
horse-n	animal-n
whiskey-n	fluid-n
leukemia-n	tumor-n
swap-n	transaction-n
metro-n	railway-n
mangrove-n	tree-n
cool-n	temperature-n
porter-n	employee-n
slalom-n	contest-n
therapy-n	care-n
gate-n	barrier-n
descendent-n	relative-n
pram-n	vehicle-n
recovery-n	improvement-n
flea-n	invertebrate-n
salesman-n	worker-n
collagen-n	protein-n
vintage-n	beverage-n
epistle-n	letter-n
green-n	color-n
artery-n	vessel-n
jealousy-n	feeling-n
scourge-n	instrument-n
contract-n	statement-n
principle-n	idea-n
penguin-n	animal-n
ferry-n	vehicle-n
stereo-n	equipment-n
wader-n	bird-n
microbiology-n	biology-n
polymerase-n	enzyme-n
leak-n	opening-n
disappointment-n	feeling-n
chimpanzee-n	mammal-n
dioxin-n	hydrocarbon-n
glider-n	vehicle-n
deer-n	animal-n
beverage-n	liquid-n
hamlet-n	community-n
spaceship-n	vehicle-n
sprinter-n	athlete-n
zeal-n	feeling-n
drummer-n	entertainer-n
caucus-n	gathering-n
limousine-n	vehicle-n
mango-n	tree-n
cafe-n	restaurant-n
playlist-n	information-n
mummy-n	ancestor-n
convent-n	building-n
filly-n	female-n
puppy-n	vertebrate-n
potato-n	vegetable-n
deanery-n	house-n
porter-n	workman-n
ape-n	animal-n
bug-n	animal-n
duck-n	bird-n
cabbage-n	vegetable-n
teacher-n	professional-n
nursing-n	work-n
snail-n	animal-n
alga-n	microorganism-n
puppy-n	mammal-n
strawberry-n	berry-n
courtroom-n	room-n
lunch-n	meal-n
hedgehog-n	vertebrate-n
bitterness-n	feeling-n
alcohol-n	fluid-n
caterpillar-n	larva-n
locomotive-n	vehicle-n
educator-n	professional-n
kettle-n	container-n
prelate-n	clergyman-n
robin-n	animal-n
piper-n	performer-n
pickup-n	vehicle-n
parachute-n	equipment-n
leprosy-n	disease-n
enzymology-n	biochemistry-n
dove-n	animal-n
covenant-n	document-n
race-n	contest-n
grandmother-n	relative-n
lady-n	adult-n
acoustics-n	discipline-n
balloon-n	aircraft-n
sherry-n	beverage-n
kilt-n	commodity-n
shovel-n	tool-n
uprising-n	conflict-n
chicken-n	solid-n
sunlight-n	light-n
fisherman-n	worker-n
mule-n	mammal-n
maggot-n	animal-n
turbine-n	engine-n
skin-n	tissue-n
carbonate-n	chemical-n
maize-n	herb-n
bamboo-n	wood-n
flour-n	food-n
heat-n	energy-n
spokeswoman-n	advocate-n
subtraction-n	calculation-n
breeze-n	wind-n
laptop-n	machine-n
primate-n	priest-n
missile-n	weapon-n
psychoanalysis-n	work-n
vicarage-n	dwelling-n
booze-n	beverage-n
soprano-n	performer-n
dementia-n	insanity-n
intranet-n	system-n
butterfly-n	insect-n
supercomputer-n	machine-n
leukaemia-n	cancer-n
progenitor-n	ancestor-n
pennant-n	signal-n
monarch-n	ruler-n
velocity-n	rate-n
initiation-n	ceremony-n
horse-n	mammal-n
greyhound-n	hound-n
commission-n	organization-n
jet-n	vehicle-n
ipod-n	system-n
emigrant-n	migrant-n
battleship-n	vehicle-n
kangaroo-n	animal-n
hawk-n	bird-n
gent-n	adult-n
refreshment-n	food-n
surcharge-n	cost-n
weakening-n	transformation-n
fright-n	emotion-n
battleship-n	ship-n
volleyball-n	game-n
hypnotherapy-n	therapy-n
greyhound-n	dog-n
dragonfly-n	insect-n
insecticide-n	pesticide-n
fence-n	barrier-n
felony-n	transgression-n
vicar-n	clergyman-n
visualisation-n	representation-n
racehorse-n	mammal-n
mule-n	animal-n
measles-n	illness-n
kindergarten-n	institution-n
robin-n	vertebrate-n
publisher-n	firm-n
airplane-n	vehicle-n
cellulose-n	chemical-n
typography-n	occupation-n
overhead-n	cost-n
physiotherapy-n	treatment-n
buffalo-n	mammal-n
manor-n	housing-n
emigration-n	migration-n
bonnet-n	clothing-n
apprehension-n	fear-n
sixty-n	integer-n
farmhouse-n	house-n
almond-n	tree-n
compassion-n	feeling-n
nanotechnology-n	discipline-n
receiver-n	equipment-n
tycoon-n	businessman-n
bear-n	vertebrate-n
license-n	document-n
tanker-n	ship-n
bluegrass-n	herb-n
bull-n	mammal-n
brother-n	kinsman-n
cameraman-n	artist-n
cracker-n	food-n
polyethylene-n	resin-n
crow-n	animal-n
corporation-n	organization-n
chancellor-n	leader-n
regent-n	member-n
screwdriver-n	tool-n
seminar-n	gathering-n
syringe-n	instrument-n
criminology-n	discipline-n
deer-n	mammal-n
motorbike-n	vehicle-n
physician-n	adult-n
competitiveness-n	trait-n
cataract-n	illness-n
grandfather-n	grandparent-n
range-n	magnitude-n
coach-n	trainer-n
panda-n	vertebrate-n
walnut-n	seed-n
theatre-n	building-n
turquoise-n	crystal-n
hypnotherapy-n	treatment-n
croquet-n	game-n
rum-n	fluid-n
probate-n	document-n
dryer-n	commodity-n
negation-n	statement-n
anaesthetic-n	drug-n
hallway-n	passageway-n
knife-n	tool-n
ecstasy-n	emotion-n
rifle-n	weapon-n
investing-n	transaction-n
raven-n	vertebrate-n
polymer-n	chemical-n
bowling-n	game-n
luncheon-n	meal-n
tour-n	travel-n
loo-n	room-n
logo-n	symbol-n
artillery-n	armament-n
jigsaw-n	tool-n
whisky-n	fluid-n
statesman-n	leader-n
aromatherapy-n	therapy-n
louse-n	insect-n
dragonfly-n	animal-n
pearl-n	jewelry-n
melanoma-n	carcinoma-n
kingfisher-n	bird-n
vertebrate-n	animal-n
tyrant-n	ruler-n
geometry-n	discipline-n
rectangle-n	polygon-n
flea-n	parasite-n
maple-n	wood-n
perseverance-n	trait-n
toad-n	animal-n
charity-n	institution-n
murderer-n	criminal-n
country-n	organization-n
musket-n	gun-n
title-n	text-n
jean-n	garment-n
cage-n	enclosure-n
cellist-n	entertainer-n
grandmother-n	grandparent-n
deafness-n	disability-n
opium-n	narcotic-n
ape-n	mammal-n
brethren-n	organization-n
crusade-n	undertaking-n
detective-n	policeman-n
throne-n	chair-n
ant-n	insect-n
scapegoat-n	victim-n
glaucoma-n	disease-n
tanker-n	vehicle-n
soloist-n	musician-n
milk-n	food-n
rainforest-n	vegetation-n
antibody-n	molecule-n
illustration-n	artwork-n
surgeon-n	professional-n
warbler-n	singer-n
dancing-n	discipline-n
calf-n	animal-n
navy-n	organization-n
toast-n	food-n
radius-n	magnitude-n
cocktail-n	alcohol-n
goalkeeper-n	athlete-n
forearm-n	limb-n
ambassador-n	diplomat-n
analogy-n	inference-n
generator-n	apparatus-n
spacecraft-n	equipment-n
laptop-n	computer-n
outpost-n	post-n
petroleum-n	oil-n
fairytale-n	narrative-n
drinker-n	consumer-n
joker-n	entertainer-n
henchman-n	criminal-n
writer-n	communicator-n
bingo-n	game-n
pathologist-n	doctor-n
trumpeter-n	entertainer-n
baronetcy-n	status-n
warbler-n	entertainer-n
football-n	game-n
fish-n	animal-n
reimbursement-n	compensation-n
final-n	contest-n
butterfly-n	animal-n
elite-n	people-n
goose-n	vertebrate-n
foundry-n	plant-n
rodent-n	mammal-n
jam-n	food-n
waterfowl-n	animal-n
cutlery-n	tool-n
husband-n	relative-n
stipend-n	payment-n
beard-n	hair-n
daddy-n	parent-n
whiskey-n	drug-n
retina-n	tissue-n
foreman-n	superior-n
economics-n	discipline-n
folly-n	trait-n
optimism-n	feeling-n
longing-n	feeling-n
noun-n	word-n
reindeer-n	animal-n
swimming-n	sport-n
petroleum-n	chemical-n
bungalow-n	house-n
parapet-n	wall-n
ultimatum-n	request-n
grove-n	vegetation-n
insomnia-n	disorder-n
goalkeeper-n	player-n
endurance-n	strength-n
rat-n	mammal-n
lamb-n	animal-n
brigade-n	organization-n
anaesthetist-n	professional-n
honey-n	food-n
enumeration-n	list-n
primacy-n	standing-n
bungalow-n	housing-n
soldier-n	serviceman-n
transplantation-n	procedure-n
observatory-n	building-n
stocking-n	commodity-n
dish-n	container-n
kidnapping-n	crime-n
salmon-n	fish-n
psychotherapy-n	discipline-n
hedgehog-n	rodent-n
ore-n	mineral-n
importation-n	commerce-n
patience-n	trait-n
castle-n	house-n
autobiography-n	record-n
workbook-n	publication-n
stag-n	mammal-n
twenty-n	integer-n
mother-n	ancestor-n
piper-n	entertainer-n
bike-n	vehicle-n
typhoon-n	phenomenon-n
denim-n	clothing-n
organist-n	performer-n
subcommittee-n	organization-n
vintage-n	liquid-n
toddler-n	child-n
cotton-n	fiber-n
tummy-n	tissue-n
castle-n	housing-n
radar-n	instrument-n
animosity-n	emotion-n
knuckle-n	joint-n
bead-n	jewelry-n
webcam-n	camera-n
coaching-n	occupation-n
fishing-n	sport-n
shellfish-n	seafood-n
gym-n	facility-n
gladiator-n	combatant-n
sadness-n	feeling-n
plum-n	tree-n
teaching-n	occupation-n
submarine-n	ship-n
odour-n	sensation-n
mariner-n	worker-n
mosque-n	building-n
pony-n	horse-n
dealer-n	merchant-n
physician-n	professional-n
carcinoma-n	cancer-n
hepatitis-n	illness-n
objectivity-n	trait-n
badminton-n	sport-n
seaweed-n	alga-n
osteoarthritis-n	arthritis-n
motorway-n	highway-n
sulphate-n	chemical-n
dolphin-n	animal-n
dance-n	art-n
gastropod-n	invertebrate-n
box-n	container-n
jeweller-n	maker-n
cheese-n	food-n
facade-n	surface-n
motorist-n	driver-n
chemistry-n	science-n
gemstone-n	crystal-n
maggot-n	larva-n
mom-n	parent-n
son-n	offspring-n
robbery-n	crime-n
pharmacology-n	science-n
sweater-n	commodity-n
copyright-n	right-n
prosecutor-n	official-n
gorge-n	valley-n
hospital-n	building-n
beer-n	beverage-n
adrenaline-n	chemical-n
size-n	magnitude-n
roast-n	meat-n
lactose-n	molecule-n
dinosaur-n	vertebrate-n
council-n	organization-n
technician-n	worker-n
violinist-n	entertainer-n
fodder-n	worker-n
symposium-n	meeting-n
kestrel-n	falcon-n
iv-n	digit-n
mankind-n	mammal-n
melanoma-n	cancer-n
liquor-n	fluid-n
fencing-n	obstruction-n
penguin-n	bird-n
cradle-n	furniture-n
seabird-n	bird-n
gateway-n	entrance-n
magazine-n	medium-n
goldfish-n	vertebrate-n
lingerie-n	clothing-n
baroness-n	aristocrat-n
electronics-n	science-n
physiotherapy-n	therapy-n
chalet-n	house-n
son-n	relative-n
conversion-n	transformation-n
baggage-n	container-n
bomber-n	airplane-n
wine-n	fluid-n
song-n	music-n
mare-n	horse-n
elephant-n	animal-n
miner-n	workman-n
oncology-n	science-n
chef-n	worker-n
neuroscience-n	discipline-n
pew-n	bench-n
lobster-n	seafood-n
ache-n	pain-n
yellow-n	color-n
platform-n	surface-n
cannon-n	artillery-n
nostalgia-n	feeling-n
coriander-n	herb-n
piracy-n	crime-n
bra-n	clothing-n
craftsman-n	professional-n
waitress-n	worker-n
owl-n	bird-n
suit-n	commodity-n
pianist-n	entertainer-n
algebra-n	mathematics-n
vulture-n	vertebrate-n
asthma-n	illness-n
memo-n	record-n
eating-n	consumption-n
biotechnology-n	discipline-n
concerto-n	music-n
roofing-n	equipment-n
dentistry-n	science-n
panda-n	mammal-n
guesthouse-n	housing-n
mistress-n	woman-n
eagle-n	vertebrate-n
yesterday-n	day-n
porter-n	worker-n
attraction-n	phenomenon-n
chick-n	animal-n
horseman-n	rider-n
clubhouse-n	building-n
castle-n	building-n
vertex-n	point-n
compost-n	mixture-n
gown-n	clothing-n
telly-n	receiver-n
